gangNr,preisNr,text,typ
1,1,1.Reihe 100 Fr,super
1,2,2.Reihe 200 Fr,super
1,3,ganze Karte 700 Fr,super
2,1,1.Reihe 100 Fr,super
2,2,2.Reihe 200 Fr,super
2,3,ganze Karte 1000 Fr,super
3,1,Preis 200 Fr,normal
3,2,Preis 150 Fr,normal
3,3,Preis 120 Fr,normal
3,4,Preis 80 Fr,normal
3,5,Preis 50 Fr,normal
4,1,Preis 200 Fr,normal
4,2,Preis 150 Fr,normal
4,3,Preis 120 Fr,normal
4,4,Preis 80 Fr,normal
4,5,Preis 50 Fr,normal
5,1,1.Reihe 100 Fr,super
5,2,2.Reihe 200 Fr,super
5,3,700 Fr,super
6,1,1.Reihe 100 Fr,super
6,2,2.Reihe 200 Fr,super
6,3,ganze Karte 1000 Fr,super
7,1,Preis 200 Fr,pause
7,2,Preis 150 Fr,pause
7,3,Preis 120 Fr,pause
7,4,Preis 80 Fr,pause
7,5,Preis 50 Fr,pause
8,1,1.Reihe 100 Fr,super
8,2,2.Reihe 200 Fr,super
8,3,ganze Karte 700 Fr,super
9,1,1.Reihe 100 Fr,super
9,2,2.Reihe 200 Fr,super
9,3,ganze Karte 1000 Fr,super
10,1,Preis 200 Fr,normal
10,2,Preis 150 Fr,normal
10,3,Preis 120 Fr,normal
10,4,Preis 80 Fr,normal
10,5,Preis 50 Fr,normal
11,1,Preis 200 Fr,normal
11,2,Preis 150 Fr,normal
11,3,Preis 120 Fr,normal
11,4,Preis 80 Fr,normal
11,5,Preis 50 Fr,normal
12,1,1.Reihe 100 Fr,super
12,2,2.Reihe 200 Fr,super
12,3,700 Fr,super
13,1,1.Reihe 100 Fr,super
13,2,2.Reihe 200 Fr,super
13,3,ganze Karte 1000 Fr,super
14,1,Preis 200 Fr,pause
14,2,Preis 150 Fr,pause
14,3,Preis 120 Fr,pause
14,4,Preis 80 Fr,pause
14,5,Preis 50 Fr,pause
15,1,1.Reihe 100 Fr,super
15,2,2.Reihe 200 Fr,super
15,3,ganze Karte 700 Fr,super
16,1,1.Reihe 100 Fr,super
16,2,2.Reihe 200 Fr,super
16,3,ganze Karte 1000 Fr,super
17,1,Preis 200 Fr,normal
17,2,Preis 150 Fr,normal
17,3,Preis 120 Fr,normal
17,4,Preis 80 Fr,normal
17,5,Preis 50 Fr,normal
18,1,Preis 200 Fr,normal
18,2,Preis 150 Fr,normal
18,3,Preis 120 Fr,normal
18,4,Preis 80 Fr,normal
18,5,Preis 50 Fr,normal
19,1,1.Reihe 100 Fr,super
19,2,2.Reihe 200 Fr,super
19,3,700 Fr,super
20,1,1.Reihe 100 Fr,super
20,2,2.Reihe 200 Fr,super
20,3,ganze Karte 1000 Fr,super

